"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2021 ";"2022";"2023 **";"2024 eerste helft*"
"Bunnik";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bunschoten";"Installaties";"aantal";"2011";"3067";"3828";"3999"
"Bunschoten";"Opgesteld vermogen van zonnepanelen";"kWp";"25074";"31165";"35654";"36890"
"Bunschoten";"Opgesteld vermogen omvormers";"kW";"";"25937";"29705";"30747"
"Bunschoten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Buren";"Installaties";"aantal";"3267";"4468";"6003";"6322"
"Buren";"Opgesteld vermogen van zonnepanelen";"kWp";"28558";"40137";"50684";"52813"
"Buren";"Opgesteld vermogen omvormers";"kW";"";"36532";"45396";"47178"
"Buren";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Capelle aan den IJssel";"Installaties";"aantal";"3206";"4726";"6396";"6713"
"Capelle aan den IJssel";"Opgesteld vermogen van zonnepanelen";"kWp";"14466";"22659";"30531";"32103"
"Capelle aan den IJssel";"Opgesteld vermogen omvormers";"kW";"";"20611";"27463";"28771"
"Capelle aan den IJssel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Castricum";"Installaties";"aantal";"6025";"7393";"8772";"9063"
"Castricum";"Opgesteld vermogen van zonnepanelen";"kWp";"21147";"26504";"33629";"35101"
"Castricum";"Opgesteld vermogen omvormers";"kW";"";"25408";"31750";"33073"
